uid,xml_count,danmu_count
28657041,4,4
298382,4,4
303459,4,4
3042883,4,4
32154172,4,4
3283887,4,4
35327184,4,4
36185504,4,4
369974,4,4
37050555,4,4
37312051,4,4
37978769,4,4
3990413,4,4
4063983,4,4
407035,4,4
4121302,4,4
428162,4,4
4443793,4,4
4592182,4,4
4979564,4,4
50318245,4,4
53436906,4,4
5563864,4,4
5725305,4,4
63239926,4,4
6604673,4,4
7077915,4,4
7331613,4,4
7389555,4,4
7405819,4,4
782987,4,4
7886253,4,4
8316471,4,4
89109258,4,4
9052573,4,4
9133033,4,4
98710271,4,4
23419631,3,714
4974676,3,383
27112908,3,294
77696341,3,211
39115670,3,208
61956663,3,201
38377451,3,143
74109384,3,129
5669655,3,118
38906825,3,103
12393800,3,84
36322101,3,82
33126631,3,80
47960438,3,79
20831730,3,75
9149064,3,73
27288745,3,71
12308915,3,68
2665157,3,68
95786780,3,67
50701598,3,65
29910881,3,58
5725975,3,58
1776217,3,55
2293522,3,55
7991110,3,54
417354,3,51
22899606,3,50
37991420,3,48
3443293,3,46
35213002,3,46
12419338,3,42
16642121,3,40
85320906,3,39
21961931,3,38
128471,3,36
1576697,3,36
1898080,3,36
7609879,3,34
15041972,3,33
625205,3,32
8404089,3,32
89657799,3,31
2504177,3,29
90616884,3,29
19199865,3,27
32318989,3,27
35586962,3,26
74203884,3,26
60502440,3,25
8835360,3,25
19810850,3,24
25761131,3,24
8192659,3,24
33398348,3,23
40158377,3,23
15867,3,22
17099774,3,22
19903522,3,22
34774367,3,22
